startTime endTime activeAppName
 06:04:48PM on November 28, 2018 Terminal
06:56:53PM on November 28, 2018 06:56:57PM on November 28, 2018 PyCharm
06:56:57PM on November 28, 2018 06:57:00PM on November 28, 2018 Terminal
06:57:00PM on November 28, 2018 06:57:05PM on November 28, 2018 PyCharm
06:57:05PM on November 28, 2018 06:57:09PM on November 28, 2018 Terminal
06:57:09PM on November 28, 2018 06:57:16PM on November 28, 2018 PyCharm
06:57:16PM on November 28, 2018 06:57:18PM on November 28, 2018 Terminal
06:57:18PM on November 28, 2018 06:57:26PM on November 28, 2018 PyCharm
06:57:26PM on November 28, 2018 06:57:32PM on November 28, 2018 Terminal
06:57:32PM on November 28, 2018 06:57:51PM on November 28, 2018 PyCharm
06:57:51PM on November 28, 2018 06:57:53PM on November 28, 2018 Terminal
06:57:53PM on November 28, 2018 06:58:42PM on November 28, 2018 PyCharm
06:58:42PM on November 28, 2018 06:58:55PM on November 28, 2018 Terminal
06:58:55PM on November 28, 2018 06:59:13PM on November 28, 2018 PyCharm
06:59:13PM on November 28, 2018 06:59:14PM on November 28, 2018 Terminal
06:59:14PM on November 28, 2018 07:00:36PM on November 28, 2018 PyCharm
07:00:36PM on November 28, 2018 07:00:43PM on November 28, 2018 Terminal
07:00:43PM on November 28, 2018 07:01:01PM on November 28, 2018 PyCharm
07:01:01PM on November 28, 2018 07:01:06PM on November 28, 2018 Terminal
07:01:06PM on November 28, 2018 07:02:22PM on November 28, 2018 PyCharm
07:02:22PM on November 28, 2018 07:02:25PM on November 28, 2018 Terminal
07:02:25PM on November 28, 2018 07:02:53PM on November 28, 2018 PyCharm
07:02:53PM on November 28, 2018 07:03:02PM on November 28, 2018 Terminal
07:03:02PM on November 28, 2018 07:03:39PM on November 28, 2018 PyCharm
07:03:39PM on November 28, 2018 07:03:40PM on November 28, 2018 Terminal
07:03:40PM on November 28, 2018 07:04:39PM on November 28, 2018 PyCharm
07:04:39PM on November 28, 2018 07:04:50PM on November 28, 2018 Terminal
07:04:50PM on November 28, 2018 07:11:44PM on November 28, 2018 PyCharm
07:11:44PM on November 28, 2018 07:18:31PM on November 28, 2018 UserNotificationCenter
07:18:31PM on November 28, 2018 07:32:53PM on November 28, 2018 loginwindow
07:32:53PM on November 28, 2018 07:32:56PM on November 28, 2018 PyCharm
07:32:56PM on November 28, 2018 07:35:13PM on November 28, 2018 Google Chrome
07:35:13PM on November 28, 2018 07:35:32PM on November 28, 2018 WeChat
07:35:32PM on November 28, 2018 07:35:36PM on November 28, 2018 Google Chrome
07:35:36PM on November 28, 2018 07:35:38PM on November 28, 2018 WeChat
07:35:38PM on November 28, 2018 07:36:35PM on November 28, 2018 Google Chrome
07:36:35PM on November 28, 2018 07:36:49PM on November 28, 2018 WeChat
07:36:49PM on November 28, 2018 07:37:30PM on November 28, 2018 Google Chrome
07:37:30PM on November 28, 2018 07:39:57PM on November 28, 2018 WeChat
07:39:57PM on November 28, 2018 07:40:10PM on November 28, 2018 Google Chrome
07:40:10PM on November 28, 2018 07:40:22PM on November 28, 2018 WeChat
07:40:22PM on November 28, 2018 07:40:27PM on November 28, 2018 Google Chrome
07:40:27PM on November 28, 2018 07:42:13PM on November 28, 2018 WeChat
07:42:13PM on November 28, 2018 07:42:34PM on November 28, 2018 Google Chrome
07:42:34PM on November 28, 2018 07:42:36PM on November 28, 2018 WeChat
07:42:36PM on November 28, 2018 07:42:49PM on November 28, 2018 Google Chrome
07:42:49PM on November 28, 2018 07:48:22PM on November 28, 2018 WeChat
07:48:22PM on November 28, 2018 07:48:49PM on November 28, 2018 TextEdit
07:48:49PM on November 28, 2018 07:48:51PM on November 28, 2018 WeChat
07:48:51PM on November 28, 2018 07:48:52PM on November 28, 2018 TextEdit
07:48:52PM on November 28, 2018 07:49:10PM on November 28, 2018 WeChat
07:49:10PM on November 28, 2018 07:51:44PM on November 28, 2018 TextEdit
07:51:44PM on November 28, 2018 07:54:53PM on November 28, 2018 WeChat
07:54:53PM on November 28, 2018 07:54:59PM on November 28, 2018 TextEdit
07:54:59PM on November 28, 2018 07:55:09PM on November 28, 2018 WeChat
07:55:09PM on November 28, 2018 10:59:14PM on November 28, 2018 loginwindow
10:59:14PM on November 28, 2018 10:59:27PM on November 28, 2018 WeChat
10:59:27PM on November 28, 2018 10:59:42PM on November 28, 2018 TextEdit
10:59:42PM on November 28, 2018 10:59:49PM on November 28, 2018 Google Chrome
10:59:49PM on November 28, 2018 10:59:52PM on November 28, 2018 WeChat
10:59:52PM on November 28, 2018 11:00:00PM on November 28, 2018 PyCharm
11:00:00PM on November 28, 2018 11:00:29PM on November 28, 2018 WeChat
11:00:29PM on November 28, 2018 11:01:29PM on November 28, 2018 PyCharm
11:01:29PM on November 28, 2018 11:01:46PM on November 28, 2018 Terminal
11:01:46PM on November 28, 2018 11:02:13PM on November 28, 2018 PyCharm
11:02:13PM on November 28, 2018 11:02:17PM on November 28, 2018 Terminal
11:02:17PM on November 28, 2018 11:03:55PM on November 28, 2018 PyCharm
11:03:55PM on November 28, 2018 11:04:04PM on November 28, 2018 Terminal
11:04:04PM on November 28, 2018 11:04:21PM on November 28, 2018 PyCharm
11:04:21PM on November 28, 2018 11:04:26PM on November 28, 2018 Terminal
11:04:26PM on November 28, 2018 11:06:20PM on November 28, 2018 PyCharm
11:06:20PM on November 28, 2018 11:06:25PM on November 28, 2018 Terminal
11:06:25PM on November 28, 2018 11:06:36PM on November 28, 2018 PyCharm
11:06:36PM on November 28, 2018 11:06:37PM on November 28, 2018 Terminal
11:06:37PM on November 28, 2018 11:06:50PM on November 28, 2018 PyCharm
11:06:50PM on November 28, 2018 11:07:00PM on November 28, 2018 Terminal
11:07:00PM on November 28, 2018 11:07:08PM on November 28, 2018 PyCharm
11:07:08PM on November 28, 2018 11:07:43PM on November 28, 2018 Terminal
11:07:43PM on November 28, 2018 11:08:00PM on November 28, 2018 PyCharm
11:08:00PM on November 28, 2018 11:08:01PM on November 28, 2018 Terminal
11:08:01PM on November 28, 2018 11:09:17PM on November 28, 2018 PyCharm
11:09:17PM on November 28, 2018 11:09:19PM on November 28, 2018 Terminal
11:09:19PM on November 28, 2018 11:09:20PM on November 28, 2018 PyCharm
11:09:20PM on November 28, 2018 11:09:23PM on November 28, 2018 Terminal
11:09:23PM on November 28, 2018 11:09:30PM on November 28, 2018 PyCharm
11:09:30PM on November 28, 2018 11:09:32PM on November 28, 2018 Terminal
11:09:32PM on November 28, 2018 11:09:58PM on November 28, 2018 PyCharm
11:09:58PM on November 28, 2018 11:10:11PM on November 28, 2018 Terminal
11:10:11PM on November 28, 2018 11:10:45PM on November 28, 2018 PyCharm
11:10:45PM on November 28, 2018 11:11:50PM on November 28, 2018 Terminal
11:11:50PM on November 28, 2018 11:14:51PM on November 28, 2018 PyCharm
11:14:51PM on November 28, 2018 11:15:05PM on November 28, 2018 Terminal
11:15:05PM on November 28, 2018 11:15:37PM on November 28, 2018 PyCharm
11:15:37PM on November 28, 2018 11:15:48PM on November 28, 2018 Google Chrome
11:15:48PM on November 28, 2018 11:15:51PM on November 28, 2018 Safari
11:15:51PM on November 28, 2018 11:16:44PM on November 28, 2018 Google Chrome
11:16:44PM on November 28, 2018 11:17:05PM on November 28, 2018 PyCharm
11:17:05PM on November 28, 2018 11:18:05PM on November 28, 2018 Google Chrome
11:18:05PM on November 28, 2018 11:18:08PM on November 28, 2018 PyCharm
11:18:08PM on November 28, 2018 11:18:12PM on November 28, 2018 Google Chrome
11:18:12PM on November 28, 2018 11:18:14PM on November 28, 2018 PyCharm
11:18:14PM on November 28, 2018 11:18:21PM on November 28, 2018 Terminal
